id;gradelevel_id;sch_yr_id;subject;hours_per_quarter;course_description;course_objectives;created_by;created_date;last_modified_by;last_modified_date
1;4;1;Reading;20;Modi recusandae Lau;Aliquip saepe facili;admin;2024-01-19 18:47:45.465503;admin;2024-01-19 19:22:09.017055
2;4;1;Writing;20;Modi recusandae Lau;Aliquip saepe facili;admin;2024-01-19 18:47:45.465503;admin;2024-01-19 19:22:09.017055
3;4;1;Math;20;Modi recusandae Lau;Aliquip saepe facili;admin;2024-01-19 18:47:45.465503;admin;2024-01-19 19:22:09.017055
4;4;1;Science;20;Modi recusandae Lau;Aliquip saepe facili;admin;2024-01-19 18:47:45.465503;admin;2024-01-19 19:22:09.017055
5;4;1;Social Studies;20;Modi recusandae Lau;Aliquip saepe facili;admin;2024-01-19 18:47:45.465503;admin;2024-01-19 19:22:09.017055
6;5;1;Reading;34;Consequuntur et et s;Sunt vel beatae perf;admin;2024-01-19 18:47:45.465503;admin;2024-01-19 19:22:09.017055
7;5;1;Writing;34;Consequuntur et et s;Sunt vel beatae perf;admin;2024-01-19 18:47:45.465503;admin;2024-01-19 19:22:09.017055
8;5;1;Math;34;Consequuntur et et s;Sunt vel beatae perf;admin;2024-01-19 18:47:45.465503;admin;2024-01-19 19:22:09.017055
9;5;1;Science;34;Consequuntur et et s;Sunt vel beatae perf;admin;2024-01-19 18:47:45.465503;admin;2024-01-19 19:22:09.017055
10;5;1;Social Studies;34;Consequuntur et et s;Sunt vel beatae perf;admin;2024-01-19 18:47:45.465503;admin;2024-01-19 19:22:09.017055

