id;seq_no;curriculum_map_id;competency_code;description;created_by;created_date;last_modified_by;last_modified_date
1;17552;1;ah nor vivaciously;aha than why;for;2026-07-05T15:43:25;concerning robust;2026-07-06T11:31:18
2;10934;1;provided who idolized;though stay;pick exhausted;2026-07-06T13:21:11;scrape;2026-07-06T05:14:30
3;23804;1;cook huzzah;essence banish;likewise;2026-07-05T20:06:54;unfreeze;2026-07-05T18:54:52
4;29833;1;fooey what event;obsess whose;pfft mmm zowie;2026-07-06T13:04:32;polite mortise;2026-07-06T08:49:23
5;16142;1;psst birdbath;democratize vastly gah;broadcast;2026-07-06T07:22:51;postbox unless wherever;2026-07-06T11:50:00
6;8985;1;beneath gracefully round;ingratiate aw;overload sadly;2026-07-05T16:13:41;birth while;2026-07-05T15:28:37
7;20497;2;resort upright reluctantly;unless;esteemed unless saloon;2026-07-05T18:07:30;coaxingly out bashfully;2026-07-05T23:10:53
8;20010;2;cappelletti provided ultimately;off before;runny;2026-07-05T18:25:24;or;2026-07-06T06:13:57
9;11936;2;small recompense quarterly;despite;diligently soulful;2026-07-06T06:45:47;gullible;2026-07-06T11:02:12
10;20963;2;that draw;morning past incinerate;honorable wallaby;2026-07-06T10:16:34;lest fat why;2026-07-05T16:13:57
11;19358;2;drat whoa;waltz;like;2026-07-05T17:58:47;supposing scarcely;2026-07-05T19:11:37
12;21271;3;ponder aha crushing;petticoat;siege;2026-07-05T19:39:04;brisk lampoon;2026-07-06T13:12:39
13;26807;3;a who;finding;made-up faithfully;2026-07-05T21:57:40;optimal;2026-07-05T20:56:29
14;1393;3;mmm shakily phew;usefully valiantly ew;after warmly vision;2026-07-06T09:42:58;whoa;2026-07-06T06:41:11
15;15916;4;broken afraid hornet;than;designation;2026-07-06T00:53:51;which;2026-07-05T22:44:41
16;12360;4;athwart narrow;hm so for;geez;2026-07-06T09:52:50;marksman bowling nucleotidase;2026-07-06T09:45:57
17;14103;4;petticoat crowded youthfully;babushka fragrant whereas;now drag;2026-07-06T09:55:01;developmental brightly print;2026-07-06T10:22:06
18;20420;4;poppy viciously gadzooks;that clinking voluminous;lean ferociously as;2026-07-06T05:52:43;apropos if how;2026-07-06T14:49:53
19;27122;4;hunger;gratefully huzzah;whoa amidst;2026-07-06T00:51:45;ameliorate so deceivingly;2026-07-05T23:28:30
20;14716;1;kindheartedly reprove strictly;diagram whereas however;gee;2026-07-06T00:49:35;earth;2026-07-06T06:47:19
21;2626;1;triangular;furiously approach;haze aha;2026-07-05T16:21:42;like;2026-07-06T07:45:31
22;10585;1;oof for;athwart shakily;tenderly while meh;2026-07-06T00:31:26;sedately notwithstanding;2026-07-06T03:25:02
23;29237;1;verbally that woot;trusting actual lest;although yippee filter;2026-07-05T17:21:25;although condense;2026-07-05T19:05:21
24;1396;1;mount finding;vice toaster;cope although;2026-07-05T17:18:08;broadside invite lest;2026-07-06T11:29:58
25;25766;1;whether concrete fond;before er but;even;2026-07-05T23:10:49;anti reapply;2026-07-06T06:53:07
26;3583;1;whether;pish;pulse immediately;2026-07-06T01:04:25;yippee;2026-07-06T08:27:16
27;25367;1;beneath;fedora zowie;cauliflower;2026-07-06T14:49:24;gah;2026-07-05T21:30:16
28;21922;1;inconsequential whether out;during pfft;a nerve;2026-07-06T13:07:10;taxicab dark fireplace;2026-07-06T11:54:48
29;8989;1;noxious sup;whole knowingly finally;via till;2026-07-05T18:06:28;leading across;2026-07-06T01:35:25
30;24018;1;severe;acquaintance;swing denitrify;2026-07-06T08:15:56;despite;2026-07-06T13:47:55
