id;learning_competency_id;name;description;created_by;created_date;last_modified_by;last_modified_date
1;1;duster;../fake-data/blob/hipster.txt;even circa;2026-07-06T14:28:13;hourly;2026-07-06T11:11:05
2;1;gadzooks zowie;../fake-data/blob/hipster.txt;nicely so;2026-07-06T06:42:34;chromakey if;2026-07-06T01:29:01
3;1;alliance owlishly;../fake-data/blob/hipster.txt;failing yowza;2026-07-05T18:06:03;edible whose;2026-07-05T18:49:19
4;1;fussy fussy;../fake-data/blob/hipster.txt;at hm aha;2026-07-05T23:04:51;per;2026-07-06T07:08:51
5;1;made-up baggy extremely;../fake-data/blob/hipster.txt;atop gah;2026-07-05T23:05:37;oof unnaturally;2026-07-06T05:56:53
6;1;hence;../fake-data/blob/hipster.txt;woot as apud;2026-07-05T19:15:29;scram consequently until;2026-07-06T09:43:22
7;1;that till;../fake-data/blob/hipster.txt;juggernaut lively propound;2026-07-06T04:08:25;yuck;2026-07-06T04:19:33
8;2;a to hm;../fake-data/blob/hipster.txt;hmph off rule;2026-07-06T03:16:53;while;2026-07-06T04:07:52
9;2;oof blah outlaw;../fake-data/blob/hipster.txt;silently deflect papa;2026-07-06T09:53:31;blink;2026-07-05T20:41:03
10;2;toady;../fake-data/blob/hipster.txt;seemingly bandwidth;2026-07-05T21:14:14;tensely;2026-07-06T08:37:25
11;2;next smoke;../fake-data/blob/hipster.txt;though impostor;2026-07-06T09:40:31;besides;2026-07-06T09:25:42
12;2;till shrill;../fake-data/blob/hipster.txt;gee dredger;2026-07-05T22:16:48;micromanage;2026-07-05T15:41:13
13;2;ack;../fake-data/blob/hipster.txt;hydrant after heighten;2026-07-05T16:49:15;wholly lest;2026-07-06T08:18:53
14;2;anti adventurously pleasure;../fake-data/blob/hipster.txt;that aw manipulate;2026-07-05T17:32:03;wordy well-groomed;2026-07-06T02:50:51
15;3;trolley;../fake-data/blob/hipster.txt;cripple at past;2026-07-06T12:24:17;across solder;2026-07-05T19:12:01
16;3;aside gee;../fake-data/blob/hipster.txt;off till;2026-07-06T08:23:01;hence like pick;2026-07-05T18:19:29
17;3;request dandelion haversack;../fake-data/blob/hipster.txt;from if;2026-07-06T01:23:52;hence lest that;2026-07-05T18:24:03
18;3;longboat stitcher;../fake-data/blob/hipster.txt;um soulful;2026-07-05T22:48:50;more greedily jacket;2026-07-06T04:58:16
19;3;duh throughout popularize;../fake-data/blob/hipster.txt;or mask gladly;2026-07-05T16:55:07;paintwork;2026-07-06T12:40:58
20;4;worriedly although swathe;../fake-data/blob/hipster.txt;where mysterious;2026-07-06T09:00:27;loftily geez politely;2026-07-06T09:05:41
21;4;tool aside;../fake-data/blob/hipster.txt;boohoo gah drat;2026-07-05T18:07:45;sunder;2026-07-05T18:26:23
22;4;calculus ha;../fake-data/blob/hipster.txt;giant;2026-07-06T04:48:22;since vacantly;2026-07-06T10:35:08
23;5;finally;../fake-data/blob/hipster.txt;prance inside;2026-07-06T14:10:27;joshingly;2026-07-06T12:40:28
24;6;know;../fake-data/blob/hipster.txt;norm;2026-07-06T14:33:34;although;2026-07-06T10:10:06
25;7;acquire er shrill;../fake-data/blob/hipster.txt;under;2026-07-06T01:10:13;psst anti;2026-07-06T13:45:11
26;8;plus dissemble;../fake-data/blob/hipster.txt;conversation seldom sleepily;2026-07-06T09:42:23;eek via;2026-07-06T12:05:47
27;9;outrun;../fake-data/blob/hipster.txt;statue sentimental calmly;2026-07-06T00:55:23;yowza lest;2026-07-06T13:14:15
28;10;brr the;../fake-data/blob/hipster.txt;instead;2026-07-06T06:35:03;apprehensive;2026-07-06T08:07:09
29;11;uncover indeed boo;../fake-data/blob/hipster.txt;rightfully carelessly lest;2026-07-05T15:06:20;why;2026-07-06T05:27:02
30;12;so submitter kissingly;../fake-data/blob/hipster.txt;agreeable yowza;2026-07-06T02:56:18;emerge;2026-07-05T18:28:41
