id;name;code;start_date;end_date;current;created_by;created_date;last_modified_by;last_modified_date
1;pace sunder ornery;geez extroverted;2026-07-04;2026-07-03;false;psst following overstay;2026-07-04T09:12:13;shyly;2026-07-04T12:20:51
2;though for savour;long-term;2026-07-04;2026-07-04;true;cute;2026-07-04T10:02:50;yet inasmuch;2026-07-04T02:19:49
3;given;stunning excluding round;2026-07-04;2026-07-04;true;although spice;2026-07-04T13:42:59;notwithstanding cumbersome reconsideration;2026-07-04T07:41:14
4;frank;noisily inexperienced whereas;2026-07-04;2026-07-04;true;as poppy;2026-07-03T20:30:24;happily absentmindedly;2026-07-04T11:40:56
5;bravely without;hmph;2026-07-03;2026-07-03;true;obscure;2026-07-04T10:53:55;source;2026-07-04T01:46:22
6;midst;duh smoothly;2026-07-04;2026-07-03;false;judicious;2026-07-04T05:40:46;boo next highly;2026-07-04T09:57:39
7;indeed;unto;2026-07-04;2026-07-03;false;goose graft;2026-07-04T09:47:51;before procurement;2026-07-04T09:18:45
8;if yahoo about;resource;2026-07-04;2026-07-03;true;browse;2026-07-04T06:15:08;since;2026-07-04T12:37:29
9;fooey unwieldy;edible yahoo joshingly;2026-07-04;2026-07-04;true;because;2026-07-04T03:27:29;that;2026-07-04T09:14:55
10;phew;colorize;2026-07-04;2026-07-04;true;fooey object;2026-07-04T13:17:50;boo inhibit;2026-07-03T22:27:22
11;rebuff swiftly the;as;2026-07-04;2026-07-04;false;fibre book;2026-07-04T00:19:43;um;2026-07-03T21:55:44
12;terribly;halt acidic;2026-07-03;2026-07-04;false;oval;2026-07-04T03:49:37;octave;2026-07-04T09:17:11
13;promptly meh;yahoo;2026-07-04;2026-07-04;false;softly for;2026-07-03T22:06:58;usually communicate notwithstanding;2026-07-04T06:37:12
14;focused amidst cemetery;rubbery confide woot;2026-07-04;2026-07-04;false;in concerning;2026-07-04T04:11:29;recklessly cleverly annual;2026-07-04T12:36:05
15;bolster crossly;rim;2026-07-03;2026-07-03;true;determined;2026-07-04T11:37:01;gah ah;2026-07-04T03:29:59
16;because next;hm independence;2026-07-04;2026-07-04;false;yahoo instead coaxingly;2026-07-04T02:54:14;casement slow;2026-07-04T00:16:53
17;psst;when insert colonialism;2026-07-04;2026-07-04;true;cash pfft;2026-07-04T00:47:50;suddenly whereas aggravating;2026-07-04T12:33:52
18;buttery;sanity;2026-07-03;2026-07-04;false;saw huzzah;2026-07-03T16:17:45;anti webbed;2026-07-04T15:06:01
19;fraternise incline;confide;2026-07-03;2026-07-04;true;above painfully misfire;2026-07-04T15:15:51;while heartbeat;2026-07-04T05:34:34
20;down;dream helpfully;2026-07-04;2026-07-04;false;less;2026-07-04T04:57:00;reorganisation;2026-07-04T14:36:56
21;scamper resource so;resolve yahoo joyfully;2026-07-04;2026-07-04;true;possible;2026-07-04T03:07:14;notwithstanding failing;2026-07-04T09:20:05
22;slushy uh-huh;ascertain um gullible;2026-07-04;2026-07-04;false;however along which;2026-07-04T04:11:04;propound yak;2026-07-04T08:56:42
23;near gosh;stock while;2026-07-03;2026-07-03;true;minus;2026-07-03T22:39:04;storyboard;2026-07-04T06:58:49
24;majority hawk;council sore cloudy;2026-07-03;2026-07-03;true;into or;2026-07-03T20:57:48;in punctual;2026-07-04T05:12:36
25;excluding notwithstanding before;ack behind forenenst;2026-07-04;2026-07-04;true;slowly;2026-07-04T14:14:36;anxiously;2026-07-04T15:42:56
26;gladly;clone and;2026-07-04;2026-07-03;false;highly utterly regular;2026-07-04T10:00:33;anenst below;2026-07-04T13:38:01
27;excluding and provision;successfully onto as;2026-07-04;2026-07-04;false;whenever how phew;2026-07-03T18:34:19;till ick;2026-07-04T04:33:11
28;quicker;order above;2026-07-03;2026-07-04;false;coin moist huzzah;2026-07-03T22:40:00;energetically cram lest;2026-07-03T18:24:39
29;rot jellyfish;cool;2026-07-04;2026-07-04;false;obesity yuck;2026-07-04T12:15:40;weatherize;2026-07-04T14:24:22
30;capitalize;towards;2026-07-04;2026-07-04;true;yum imaginary afterwards;2026-07-03T20:27:24;pleasant kiddingly;2026-07-04T12:07:11
