id;name;code;start_date;end_date;current;created_by;created_date;last_modified_by;last_modified_date
1;prudent down via;without;2026-07-06;2026-07-06;true;unlike kindly;2026-07-05T21:48:39;neaten;2026-07-06T05:25:27
2;hence;confound eulogise;2026-07-06;2026-07-05;true;mortally;2026-07-06T07:47:35;unhealthy;2026-07-06T11:33:14
3;crumble gummy through;that;2026-07-05;2026-07-06;false;scoop unfortunately;2026-07-06T11:17:24;carboxyl save;2026-07-06T05:41:54
4;that less inside;glaring indeed;2026-07-06;2026-07-06;false;duh afore through;2026-07-06T00:48:37;fledgling suddenly;2026-07-05T19:46:07
5;properly;nervously soup;2026-07-06;2026-07-06;false;ha off lest;2026-07-06T04:38:28;lanky fervently healthily;2026-07-06T06:07:09
6;proud meanwhile antagonize;phew;2026-07-05;2026-07-05;false;now incidentally hm;2026-07-06T12:30:14;justly;2026-07-06T00:36:34
7;from icy;promise;2026-07-05;2026-07-06;true;gracious decouple clinking;2026-07-06T04:28:08;geez baritone;2026-07-06T10:01:29
8;aboard;about heighten properly;2026-07-05;2026-07-05;false;slowly;2026-07-06T05:35:50;deploy;2026-07-05T22:43:06
9;hospitable;colonialism luck;2026-07-06;2026-07-05;true;excepting ack softly;2026-07-05T17:05:28;instruction;2026-07-06T06:51:16
10;above for around;via;2026-07-05;2026-07-06;true;bookcase;2026-07-05T22:23:56;aside;2026-07-06T09:23:22
11;outgoing verbally;unaccountably inspect;2026-07-06;2026-07-05;false;on annual phooey;2026-07-06T02:46:39;christen monthly;2026-07-06T00:58:15
12;mindless following who;duh patiently;2026-07-05;2026-07-06;false;deer indeed impressionable;2026-07-06T02:33:20;yet;2026-07-06T04:07:05
13;gee underneath hidden;anenst moment;2026-07-05;2026-07-06;false;sans;2026-07-06T08:24:00;ultimate;2026-07-06T03:13:42
14;absent word mid;incomplete along;2026-07-05;2026-07-05;true;if subdued anti;2026-07-06T06:13:10;since;2026-07-06T10:28:47
15;even;yet drat;2026-07-06;2026-07-05;false;tired blah;2026-07-05T18:27:04;strictly;2026-07-06T04:40:29
16;whereas until positively;beneath posh;2026-07-06;2026-07-06;true;whoa busily;2026-07-06T13:31:51;um yearly;2026-07-06T11:33:07
17;overcooked when hotfoot;service pure;2026-07-06;2026-07-06;true;plan draft;2026-07-06T06:34:25;wherever;2026-07-06T10:45:49
18;polyester minor kooky;chasuble noisily exhaust;2026-07-05;2026-07-06;false;aw;2026-07-06T00:26:47;ah sadly zowie;2026-07-06T04:37:07
19;too oof;oh efface;2026-07-06;2026-07-06;false;engage what beyond;2026-07-05T19:24:57;clueless;2026-07-05T20:23:20
20;punctually inject discontinue;yippee;2026-07-06;2026-07-06;true;next;2026-07-05T17:12:28;standard;2026-07-05T16:33:07
21;option deform;who obnoxiously acidly;2026-07-05;2026-07-06;false;ouch scare;2026-07-05T22:41:49;gosh;2026-07-06T10:15:30
22;er until;oh aw whereas;2026-07-06;2026-07-06;false;boiling;2026-07-06T01:25:29;ugh though now;2026-07-06T06:39:24
23;swear innocently;cultivated that pantyhose;2026-07-06;2026-07-06;false;seemingly;2026-07-05T16:57:38;inwardly;2026-07-05T15:19:25
24;aw;pantyhose;2026-07-05;2026-07-05;false;hasty necklace chubby;2026-07-05T18:43:19;around upon shred;2026-07-05T22:29:01
25;beneficial as delightfully;innocently to;2026-07-05;2026-07-05;true;dowse below perspire;2026-07-05T21:07:44;psst amid;2026-07-06T00:28:39
26;than;instead thump;2026-07-06;2026-07-05;true;vaguely;2026-07-06T14:39:45;restructure;2026-07-06T08:44:25
27;pillbox scrap gladly;worriedly;2026-07-06;2026-07-06;true;elegantly ill;2026-07-05T23:19:16;monster atop;2026-07-06T01:57:25
28;chase;which;2026-07-06;2026-07-06;false;unabashedly duh zowie;2026-07-05T19:40:03;meager now;2026-07-06T10:44:03
29;consequently mysteriously versus;idealistic jumbo;2026-07-05;2026-07-06;true;zowie place roughly;2026-07-06T03:20:44;mount verify;2026-07-05T16:28:26
30;yowza cycle hmph;plumber;2026-07-05;2026-07-06;true;sting home supposing;2026-07-05T21:53:26;vice;2026-07-06T05:29:10
