id;name;description;amount;priority;active;created_by;created_date;last_modified_by;last_modified_date
1;for alongside;when ick annually;2375.44;19565;false;leading;2026-08-30;lest;2026-08-31
2;measly;biodegradable experience factorise;3919.23;30607;true;towards hence;2026-08-30;polite uproot lest;2026-08-30
3;definitive plumber;about circa;23066.74;11259;true;daintily helpfully complicated;2026-08-30;daughter scotch fairly;2026-08-30
4;diagram;scoff;17820.82;11572;true;mmm while;2026-08-30;amongst unwilling to;2026-08-30
5;incomparable hospitalizat;down;7195.3;3752;false;until conservative sharply;2026-08-30;internalize down;2026-08-30
6;mid;aha throughout metabolise;11606.96;31533;false;tuba;2026-08-30;till if outside;2026-08-30
7;efface;pfft gently howl;12949.73;27663;true;times meanwhile troubled;2026-08-30;woot that but;2026-08-30
8;boring;huzzah;26186.29;24508;true;whether gerbil;2026-08-30;likely horde pace;2026-08-30
9;unto;hawk;21578.11;11314;true;probable;2026-08-30;boohoo for even;2026-08-30
10;meh gerbil rigidly;uncover;20694.61;18809;false;than yahoo;2026-08-30;atop eke;2026-08-31
11;management pro;ack calculus burgeon;27732.35;15101;true;deflate;2026-08-30;liquid;2026-08-30
12;circulate;angrily willfully;27552.47;5103;true;fervently whereas;2026-08-30;ick anenst along;2026-08-30
13;woefully;term till;15335.18;4983;false;um;2026-08-31;given consequently;2026-08-30
14;barring;during;10160.94;22167;true;cautiously boo;2026-08-30;hateful often;2026-08-30
15;supplier toward;sunder statement;1748.68;19982;false;given;2026-08-30;blah;2026-08-30
16;by unless as;noted short-term eek;23307.49;14102;true;by after;2026-08-30;ouch;2026-08-30
17;phew;longingly minus version;28766.38;29141;false;fooey;2026-08-30;powerful;2026-08-30
18;disgorge political vainly;fess since ruddy;16275.28;9599;true;infatuated ha if;2026-08-31;whoever electric so;2026-08-30
19;pants outfox;unethically down plus;21943.7;8888;false;loftily;2026-08-30;gallery;2026-08-30
20;these geez;yuck seal before;11369.7;5337;false;ah;2026-08-30;ironclad into considering;2026-08-30
21;diver before;daintily;20344.66;8700;true;fork sticky;2026-08-30;cork treasure on;2026-08-30
22;whenever underplay;phew;22420.3;20511;true;as modulo muted;2026-08-30;breastplate;2026-08-30
23;cheap;consequently gadzooks gee;6723.85;11712;false;inspection tectonics damp;2026-08-30;filthy majestically;2026-08-30
24;and;ethical;22789.43;20102;true;gifted unimpressively merrily;2026-08-30;whereas phew drat;2026-08-30
25;brr camouflage fooey;proselytise nervously upwardly;11523.92;9085;true;lightly duh solvency;2026-08-30;jagged once;2026-08-30
26;classic;toe meh numeric;28538;9028;false;transparency french however;2026-08-30;fuzzy;2026-08-30
27;begonia besides zowie;inspection;31314.1;6522;false;modulo madly while;2026-08-30;happy whoa;2026-08-30
28;after geez rich;likely disadvantage;1009.63;18175;false;outfit genuine monasticism;2026-08-30;deflate nauseate aside;2026-08-30
29;represent ick;athwart;23860.41;12567;true;concerning;2026-08-30;consequently;2026-08-30
30;traditionalism;captain past uncover;1313.95;28927;false;compete very;2026-08-30;duh fidget finally;2026-08-30
