id;quarter_no;week_no;topic;content_standards;performance_standards;created_by;created_date;last_modified_by;last_modified_date
1;22533;5469;patiently status;snoopy afore;mixture;gut frightfully;2026-07-03T21:03:09;boohoo ick provided;2026-07-04T01:58:55
2;4079;3215;doubtfully;wetly;offensively ugh and;vivaciously enroll;2026-07-04T13:40:05;put;2026-07-04T03:10:52
3;8065;30431;notwithstanding;sell platter;whether slather;variable indeed;2026-07-04T10:14:09;per boldly phooey;2026-07-04T14:33:14
4;9008;26542;doubter yuck diligently;hm;advanced draft incidentally;once closed;2026-07-04T05:53:52;innocently;2026-07-04T09:41:55
5;2173;14299;acknowledge busily;including toward save;those adventurously;wetly hose when;2026-07-04T13:15:16;anneal decriminalize;2026-07-04T14:55:34
6;14770;20386;procurement;deafening unfreeze;which;come amongst pantyhose;2026-07-03T21:13:41;hm;2026-07-04T06:26:49
7;5259;18793;dispense in-joke;valuable entomb qua;meanwhile although behind;dwell;2026-07-04T09:02:11;help;2026-07-03T20:55:15
8;1317;15975;revoke rust wonderfully;brr ethical;ew;marathon;2026-07-04T07:57:50;nor conversation;2026-07-04T10:02:24
9;23298;14554;terribly;mmm quick-witted compete;bowling hovel sightseeing;consistency;2026-07-04T02:26:35;by youthfully;2026-07-04T10:40:30
10;6616;12654;sticker excepting;whoever ape up;shampoo intently;proper scratch;2026-07-04T07:31:52;overconfidently;2026-07-04T09:56:05
11;15548;20845;impractical wherever until;minister numeric;wherever;so;2026-07-04T12:41:20;considering wallop aha;2026-07-04T09:11:00
12;14925;12986;modulo gah;pfft spork;consequently;abaft;2026-07-03T21:43:54;inasmuch;2026-07-04T13:59:10
13;28550;2963;forenenst geez mill;frankly;summary blah sentimental;beneath markup;2026-07-03T18:30:34;an;2026-07-04T13:03:26
14;13738;28760;yak;confused unimpressively drag;outside trek;t-shirt yahoo doting;2026-07-04T07:43:47;innocent;2026-07-04T10:01:53
15;21234;836;gadzooks;including;glittering junior;fathom boo aside;2026-07-03T22:33:24;scorpion astride;2026-07-04T05:06:42
16;29245;7244;object inasmuch acquaintance;boo now ugly;whoa meanwhile;brr unless luck;2026-07-04T02:10:19;needy;2026-07-04T01:11:02
17;18775;291;lend;past;bony;horse;2026-07-04T05:44:51;astride;2026-07-04T07:22:25
18;24846;31031;pfft devil gosh;since masquerade glossy;formamide solace qua;paintwork assist warp;2026-07-04T03:03:06;ostrich patiently supposing;2026-07-03T19:49:53
19;24925;17045;fervently optimal blah;dazzling;provided;doting before ouch;2026-07-03T19:40:28;whoever;2026-07-04T05:54:41
20;18308;31809;unless instructive huzzah;reach annually;stealthily meh trial;which;2026-07-04T03:10:07;cinch;2026-07-04T11:28:30
21;15531;13773;psst;even;transcend;alongside gadzooks;2026-07-04T07:44:30;conceal considering watery;2026-07-04T01:26:33
22;20810;16162;jealously;pfft yowza;bitterly;tensely softly;2026-07-04T01:31:58;likewise eulogise fooey;2026-07-04T06:14:42
23;17376;3821;colorful eyebrow commonly;sandbar;enormously;colorfully;2026-07-04T00:19:09;sinful recount;2026-07-04T10:56:26
24;5707;17464;insistent;dime internalise;yet;simple exactly cannon;2026-07-04T02:54:51;yahoo;2026-07-03T16:02:05
25;28942;14598;but warp adaptation;though jovially nervously;patiently instead woot;between aching;2026-07-04T10:06:19;lampoon jealous;2026-07-04T12:02:09
26;6317;7898;while;forenenst;as lovingly;impossible;2026-07-03T21:49:11;moisten within near;2026-07-03T21:27:25
27;19271;28258;whoever gadzooks favorite;fruitful anti;dishearten lively supposing;oof;2026-07-04T02:22:07;galvanize colligate;2026-07-04T09:00:00
28;12432;32611;shimmering jagged good;boo questionably separately;lanky except surge;amidst glider utterly;2026-07-04T10:24:22;because sand;2026-07-03T22:47:24
29;5624;30228;solicit gosh as;lobster;trouser faithfully;arbitrate furiously;2026-07-03T23:13:52;hm plumber;2026-07-03T20:07:43
30;9179;23777;yearly ruddy;except;singing;er guide;2026-07-04T02:08:16;nicely exactly;2026-07-04T12:32:30
