id;seq_no;competency_code;description;created_by;created_date;last_modified_by;last_modified_date
1;17552;ah nor vivaciously;aha than why;for;2026-07-01T22:31:51;concerning robust;2026-07-02T18:19:44
2;10934;provided who idolized;though stay;pick exhausted;2026-07-02T20:09:37;scrape;2026-07-02T12:02:56
3;23804;cook huzzah;essence banish;likewise;2026-07-02T02:55:20;unfreeze;2026-07-02T01:43:18
4;29833;fooey what event;obsess whose;pfft mmm zowie;2026-07-02T19:52:58;polite mortise;2026-07-02T15:37:49
5;16142;psst birdbath;democratize vastly gah;broadcast;2026-07-02T14:11:17;postbox unless wherever;2026-07-02T18:38:26
6;8985;beneath gracefully round;ingratiate aw;overload sadly;2026-07-01T23:02:07;birth while;2026-07-01T22:17:03
7;20497;resort upright reluctantly;unless;esteemed unless saloon;2026-07-02T00:55:56;coaxingly out bashfully;2026-07-02T05:59:19
8;20010;cappelletti provided ultimately;off before;runny;2026-07-02T01:13:50;or;2026-07-02T13:02:23
9;11936;small recompense quarterly;despite;diligently soulful;2026-07-02T13:34:13;gullible;2026-07-02T17:50:38
10;20963;that draw;morning past incinerate;honorable wallaby;2026-07-02T17:05:00;lest fat why;2026-07-01T23:02:23
11;19358;drat whoa;waltz;like;2026-07-02T00:47:13;supposing scarcely;2026-07-02T02:00:03
12;21271;ponder aha crushing;petticoat;siege;2026-07-02T02:27:30;brisk lampoon;2026-07-02T20:01:05
13;26807;a who;finding;made-up faithfully;2026-07-02T04:46:06;optimal;2026-07-02T03:44:55
14;1393;mmm shakily phew;usefully valiantly ew;after warmly vision;2026-07-02T16:31:24;whoa;2026-07-02T13:29:37
15;15916;broken afraid hornet;than;designation;2026-07-02T07:42:17;which;2026-07-02T05:33:07
16;12360;athwart narrow;hm so for;geez;2026-07-02T16:41:16;marksman bowling nucleotidase;2026-07-02T16:34:23
17;14103;petticoat crowded youthfully;babushka fragrant whereas;now drag;2026-07-02T16:43:27;developmental brightly print;2026-07-02T17:10:32
18;20420;poppy viciously gadzooks;that clinking voluminous;lean ferociously as;2026-07-02T12:41:09;apropos if how;2026-07-02T21:38:19
19;27122;hunger;gratefully huzzah;whoa amidst;2026-07-02T07:40:11;ameliorate so deceivingly;2026-07-02T06:16:56
20;14716;kindheartedly reprove strictly;diagram whereas however;gee;2026-07-02T07:38:01;earth;2026-07-02T13:35:45
21;2626;triangular;furiously approach;haze aha;2026-07-01T23:10:08;like;2026-07-02T14:33:57
22;10585;oof for;athwart shakily;tenderly while meh;2026-07-02T07:19:52;sedately notwithstanding;2026-07-02T10:13:28
23;29237;verbally that woot;trusting actual lest;although yippee filter;2026-07-02T00:09:51;although condense;2026-07-02T01:53:47
24;1396;mount finding;vice toaster;cope although;2026-07-02T00:06:34;broadside invite lest;2026-07-02T18:18:24
25;25766;whether concrete fond;before er but;even;2026-07-02T05:59:15;anti reapply;2026-07-02T13:41:33
26;3583;whether;pish;pulse immediately;2026-07-02T07:52:51;yippee;2026-07-02T15:15:42
27;25367;beneath;fedora zowie;cauliflower;2026-07-02T21:37:50;gah;2026-07-02T04:18:42
28;21922;inconsequential whether out;during pfft;a nerve;2026-07-02T19:55:36;taxicab dark fireplace;2026-07-02T18:43:14
29;8989;noxious sup;whole knowingly finally;via till;2026-07-02T00:54:54;leading across;2026-07-02T08:23:51
30;24018;severe;acquaintance;swing denitrify;2026-07-02T15:04:22;despite;2026-07-02T20:36:21
