id;name;logo;address;created_by;created_date;last_modified_by;last_modified_date
1;mmm;what gullible;shove coaxingly with;tangible zowie icecream;2024-01-03T22:53:33;yearly yet;2024-01-03T19:51:14
2;initialise elegantly;geez hmph;formal against defoliate;when youthful;2024-01-04T06:30:55;prompt although forestry;2024-01-04T08:22:05
3;flintlock councilor;pish since every;bridle;beneath;2024-01-04T05:22:38;toward;2024-01-04T00:25:14
4;gosh unless gladly;yet never;nor examiner;mortally boohoo;2024-01-03T14:38:59;cleft burst whoa;2024-01-04T04:52:10
5;irritate continually;whereas serene;vernacular redecorate since;nourish;2024-01-03T15:52:52;bulge stole;2024-01-04T07:37:55
6;rapidly bass;ouch outbid;solemnly;around consequently;2024-01-04T05:26:50;apprehensive next grandchild;2024-01-03T14:10:40
7;mmm price carefully;beach indolent;touch opposite;pretty luminous;2024-01-03T12:37:54;well platelet;2024-01-04T05:15:44
8;actually;fervently preoccupation;almost than;scuff digress;2024-01-03T11:51:27;yippee;2024-01-04T00:24:01
9;act pungent precedence;very mostly;blah though crazy;er;2024-01-03T18:49:13;upliftingly;2024-01-03T21:55:13
10;aha;unabashedly anti;instantly fond;pish duh gah;2024-01-04T05:04:57;gah down violet;2024-01-03T12:46:51
