id;amount;transaction_reference;created_by;created_date;last_modified_by;last_modified_date
1;2307.91;over;why hence once;2026-08-30;char;2026-08-30
2;8753.68;shallow;minus adult;2026-08-31;reproachfully daily profitable;2026-08-30
3;18237.05;hm bah;whether;2026-08-30;second misread;2026-08-30
4;19492.95;considering hmph in;yum;2026-08-30;triumphantly truthfully;2026-08-30
5;32420.15;before bah aha;mmm;2026-08-30;sun adventurously;2026-08-30
6;19055.74;hold microblog;order manage;2026-08-30;past unwilling;2026-08-30
7;6172.86;yum uh-huh anenst;at;2026-08-30;how phooey;2026-08-30
8;19767.44;instead an dead;reword;2026-08-30;though since different;2026-08-30
9;19638.26;duh between;despite;2026-08-30;quarterly;2026-08-30
10;15146.11;bowling less;big;2026-08-30;gee if;2026-08-30
11;20019.29;definite;ha;2026-08-30;natural ack;2026-08-30
12;17569.18;finally upon limping;or atomize;2026-08-30;glossy brr;2026-08-30
13;13971.7;how duh that;past cricket stack;2026-08-30;acclaimed briefly;2026-08-30
14;975.59;fooey;hence finding;2026-08-31;even;2026-08-30
15;10622.38;incidentally failing motivate;extremely;2026-08-30;against;2026-08-30
16;7740.97;cemetery;sweatshop hovercraft;2026-08-30;solemnly what;2026-08-30
17;6178.52;aw;effector;2026-08-30;happily;2026-08-30
18;23512.39;celsius;how convince;2026-08-30;gray;2026-08-30
19;19589.88;beyond;geez uh-huh monthly;2026-08-31;meanwhile;2026-08-30
20;7312.1;true ha briefly;probe;2026-08-30;mostly anti stock;2026-08-30
21;9045.69;longingly whenever overtrain;reorient oh;2026-08-30;arrange given;2026-08-30
22;31810.66;butter;profitable bah unscramble;2026-08-30;including;2026-08-30
23;20391.94;of fooey;tenderly excitedly frightened;2026-08-30;ugh recount;2026-08-30
24;29275.26;version kaleidoscopic;dull;2026-08-30;why grizzled;2026-08-30
25;21729.01;faithfully gigantic;sad duh;2026-08-30;modulo yum;2026-08-30
26;5532.88;shell;provision mean courteous;2026-08-30;orchid revoke that;2026-08-30
27;23053.58;into crumble split;gah striking;2026-08-30;tense evenly;2026-08-30
28;8929.34;swim to colligate;secrecy inside programme;2026-08-30;yowza;2026-08-30
29;10680.9;handle since;greedily after safe;2026-08-30;rectangular wheel bah;2026-08-30
30;32242.09;obediently;at;2026-08-30;sardonic excepting unlike;2026-08-30
