id;name;description;created_by;created_date;last_modified_by;last_modified_date
1;drat;trap for angrily;strain;2024-01-04T05:09:52;oof yippee;2024-01-03T22:08:55
2;incidentally;closely;including;2024-01-04T07:38:22;gosh teleport;2024-01-04T08:55:41
3;thrifty mellow;greedy;gadzooks spot huzzah;2024-01-03T11:00:26;curiously;2024-01-04T08:25:44
4;excluding cruelly purchase;like;mink slim;2024-01-03T14:40:58;imprison the chop;2024-01-03T13:28:36
5;midst;sneaky duh planet;including onto third;2024-01-03T10:04:52;ugh anenst;2024-01-04T02:47:04
6;figure market but;steal towards gouge;disband dull happy;2024-01-03T18:42:19;longingly than fairly;2024-01-03T11:44:02
7;addle;than plus although;yuck skivvy mustard;2024-01-03T15:26:04;ack patiently;2024-01-04T02:14:33
8;jolt;gee;clonk;2024-01-03T14:31:47;for enrol;2024-01-03T22:06:36
9;castigate blazon;oof weakly;aha tidy;2024-01-03T23:01:49;justly hence dishonest;2024-01-04T04:59:29
10;however better improbable;ha smug officially;upwardly among;2024-01-04T09:02:28;pish;2024-01-04T07:20:18
